Max Fitness:   97.65
Min Fitness:   82.5
Avg Fitness:   91.8535
[93] - 0011101010000110101101001011011100100110 - [accuracy: 96.85, numBits: 20, time: 236.088]
[94] - 1101100101001111011001010111011101111010 - [accuracy: 96.9, numBits: 25, time: 365.748]
[95] - 1010000001100111001001011110011001101010 - [accuracy: 96.95, numBits: 19, time: 279.41]
[96] - 1101101110010001111110100111010011111010 - [accuracy: 97, numBits: 21, time: 272.534]
[97] - 1010001111101111111000001011111000111010 - [accuracy: 97.05, numBits: 24, time: 322.872]
[98] - 0101111110100111010001110000101111101000 - [accuracy: 97.6, numBits: 23, time: 307.093]
[99] - 1010100011111110001011100000001101011101 - [accuracy: 97.65, numBits: 24, time: 323.026]
iteration (Normal): 1
Max Fitness:   97.95
Min Fitness:   88.55
Avg Fitness:   94.976
[00] - 1010010110001011000101111000000101101101 - [accuracy: 94.7, numBits: 19, time: 217.808]
[01] - 1011100111011110100010110001010011010001 - [accuracy: 94.7, numBits: 21, time: 270.132]
[02] - 1011100111011110001111011110100011110001 - [accuracy: 94.7, numBits: 25, time: 415.129]
[03] - 0001001100011111100100111010001110001000 - [accuracy: 94.8, numBits: 21, time: 274.147]
[04] - 1011101110100111111101000101110111010001 - [accuracy: 94.8, numBits: 25, time: 327.572]
[05] - 1001011000001100101010001111001010111010 - [accuracy: 94.8, numBits: 19, time: 246.038]
[06] - 0111111111100000010111010100010101100110 - [accuracy: 94.8, numBits: 22, time: 282.944]
[07] - 0100011010010010000100001101101111000101 - [accuracy: 94.85, numBits: 19, time: 233.621]
[08] - 1010010000110110100010110001010011010001 - [accuracy: 94.85, numBits: 18, time: 175.948]
[09] - 0111101010000111101101001011001000010000 - [accuracy: 94.85, numBits: 18, time: 225.249]
[10] - 1001100110000010000100001101101111000101 - [accuracy: 94.95, numBits: 21, time: 263.225]
[11] - 1011100111011001010011100000110011010111 - [accuracy: 94.95, numBits: 22, time: 294.019]
[12] - 1010000001100111001001011111101111000000 - [accuracy: 94.95, numBits: 19, time: 231.516]
[13] - 1010010000101110011111110011110100010010 - [accuracy: 95, numBits: 21, time: 279.608]
[14] - 1001011100000101001010010000001111101111 - [accuracy: 95, numBits: 19, time: 213.475]
[15] - 1010010110010001111110100111010011111010 - [accuracy: 95, numBits: 23, time: 285.533]
[16] - 0110101110110110100111101111100100100110 - [accuracy: 95, numBits: 24, time: 272.118]
[17] - 1111011110101001011111101100011110010010 - [accuracy: 95, numBits: 26, time: 362.333]
[18] - 0110000101110001010011100000110011010111 - [accuracy: 95.05, numBits: 22, time: 301.073]
[19] - 1111011010010000111000001011101111000000 - [accuracy: 95.05, numBits: 23, time: 302.843]
[20] - 1011110010111100110101111000000001001110 - [accuracy: 95.1, numBits: 21, time: 268.719]
[21] - 1000101110100111010001110000111000100000 - [accuracy: 95.15, numBits: 17, time: 180.7]
[22] - 1100100110100110011000000010011111100001 - [accuracy: 95.15, numBits: 18, time: 218.083]
[23] - 1011101110100111111101001001001010100001 - [accuracy: 95.2, numBits: 22, time: 301.242]
[24] - 1011101110100101111110100111010011111110 - [accuracy: 95.25, numBits: 21, time: 272.648]
[25] - 1011101110100111111101001001001010100000 - [accuracy: 95.25, numBits: 21, time: 272.444]
[26] - 0000011111111100111010101111001010111010 - [accuracy: 95.3, numBits: 18, time: 234.696]
[27] - 1011111110010001111110100111010011111010 - [accuracy: 95.3, numBits: 17, time: 197.974]
[28] - 1011100000100011000011010010001101001110 - [accuracy: 95.35, numBits: 16, time: 193.697]
[29] - 1001100110000010000100001101101111000101 - [accuracy: 95.4, numBits: 25, time: 342]
[30] - 1101001000010100110101111000110001111110 - [accuracy: 95.45, numBits: 21, time: 312.1]
[31] - 0011011111001101011101110011110100010010 - [accuracy: 95.45, numBits: 23, time: 333.157]
